test_image,anchor_image,score,num_matches,num_inliers,inlier_ratio,mean_error,vessel_sim
test_01.tiff,anchor_04.tiff,305.65064162345743,162,92,0.5679012345679012,1.5546176433563232,0.4842883346897998
test_01.tiff,anchor_05.tiff,289.3334308707528,161,87,0.5403726708074534,1.5961583852767944,0.4871947780167255
test_01.tiff,anchor_03.tiff,78.00520353252088,22,13,0.5909090909090909,0.3209361732006073,0.44840823204405234
test_01.tiff,anchor_01.tiff,41.86133701404581,19,6,0.3157894736842105,0.6280786395072937,0.4063596795683934
test_01.tiff,anchor_02.tiff,-7999981.064819469,5,0,0.0,inf,0.473379513279892
test_02.tiff,anchor_02.tiff,331.24109877251516,304,102,0.3355263157894737,1.5849655866622925,0.6124942708558635
test_02.tiff,anchor_03.tiff,65.39155977928993,5,4,0.8,0.0,0.5347889944822484
test_02.tiff,anchor_05.tiff,49.903934569834746,10,4,0.4,0.0,0.5475983642458686
test_02.tiff,anchor_04.tiff,47.16686078313215,12,4,0.3333333333333333,0.0,0.5458381862449705
test_02.tiff,anchor_01.tiff,43.580614191831465,13,4,0.3076923076923077,0.0,0.48182304710347895
test_03.tiff,anchor_01.tiff,1259.9675762285458,1105,413,0.3737556561085973,1.6454170942306519,0.47951716845117653
test_03.tiff,anchor_05.tiff,56.0328068878094,6,4,0.6666666666666666,0.0,0.43415350552856846
test_03.tiff,anchor_03.tiff,55.73405313134276,6,4,0.6666666666666666,0.0,0.42668466161690244
test_03.tiff,anchor_04.tiff,52.30299681055351,7,4,0.5714285714285714,0.0,0.43614634883526643
test_03.tiff,anchor_02.tiff,-7999982.317869961,3,0,0.0,inf,0.44205325097608306
test_04.tiff,anchor_01.tiff,1971.7248977923725,1363,648,0.47542186353631694,1.6122047901153564,0.5401415392960708
test_04.tiff,anchor_02.tiff,63.609954853647125,5,4,0.8,0.0,0.490248871341178
test_04.tiff,anchor_05.tiff,48.24452020564469,14,5,0.35714285714285715,0.0,0.47397014799826015
test_04.tiff,anchor_04.tiff,46.8850415040729,10,4,0.4,0.0,0.47212603760182265
test_04.tiff,anchor_03.tiff,-7999980.8882446205,5,0,0.0,inf,0.47779388449514865
